name,description,price,category,brand,countInStock,image
"Aviation Series Sunglasses","Classic aviator style sunglasses with polarized lenses.",1800,"Glasses","EcomSphere",100,"/img/product/aviationseriessunglasses.jpg"
"Retro Round Frames","Vintage-inspired round glasses with blue light protection.",1500,"Glasses","EcomSphere",85,"/img/product/retroroundframes.jpg"
"Crystal Clear Cat Eye Glasses","Trendy cat-eye glasses with a clear frame.",2200,"Glasses","EcomSphere",50,"/img/product/crystalclearcateyeglasses.jpg"
"Matte Black Wayfarers","Iconic wayfarer sunglasses with a modern matte finish.",1999,"Glasses","EcomSphere",120,"/img/product/matteblackwayfarers.jpg"
"Tortoise Shell Square Frames","Classic square-framed glasses with a stylish tortoise shell pattern.",2100,"Glasses","EcomSphere",75,"/img/product/tortoiseshellsquareframes.jpg"
"Titanium Minimalist Spectacles","Ultra-lightweight and durable titanium frames for daily use.",4500,"Glasses","EcomSphere",30,"/img/product/titaniumminimalistspectacles.jpg"
"Sport Wraparound Sunglasses","Aerodynamic sunglasses designed for cycling and running.",2800,"Glasses","EcomSphere",60,"/img/product/sportwraparoundsunglasses.jpg"
"Gold Wire Rimmed Glasses","Elegant circular glasses with a thin gold-plated frame.",3200,"Glasses","EcomSphere",45,"/img/product/goldwirerimmedglasses.jpg"
"Oversized Celebrity Shades","Glamorous oversized sunglasses for a bold fashion statement.",2600,"Glasses","EcomSphere",40,"/img/product/oversizedcelebrityshades.jpg"
"Wood Grain Wayfarers","Unique sunglasses with a natural wood-textured frame.",3500,"Glasses","EcomSphere",25,"/img/product/woodgrainwayfarers.jpg"
"Gradient Lens Pilots","Modern pilot sunglasses with blue-to-clear gradient lenses.",1899,"Glasses","EcomSphere",90,"/img/product/gradientlenspilots.jpg"
"Geometric Hexagon Frames","Contemporary hexagonal glasses for a unique aesthetic.",2300,"Glasses","EcomSphere",55,"/img/product/geometrichexagonframes.jpg"
"Night Vision Driving Glasses","Yellow-tinted lenses designed to reduce glare during night driving.",1499,"Glasses","EcomSphere",110,"/img/product/nightvisiondrivingglasses.jpg"
"Futuristic Shield Sunglasses","Single-lens shield design for a high-fashion futuristic look.",3999,"Glasses","EcomSphere",20,"/img/product/futuristicshieldsunglasses.jpg"
"Vintage Browline Glasses","Classic 1950s style browline frames in black and silver.",2700,"Glasses","EcomSphere",48,"/img/product/vintagebrowlineglasses.jpg"
"Semi-Rimless Rectangular Frames","Slim and professional semi-rimless glasses for business wear.",1900,"Glasses","EcomSphere",65,"/img/product/semirimlessrectangularframes.jpg"
"Reflective Mirror Aviators","Classic aviators with silver mirror-coated lenses.",2200,"Glasses","EcomSphere",70,"/img/product/reflectivemirroraviators.jpg"
"Transparent Pink Girl Frames","Cute and trendy pink transparent frames for women.",1600,"Glasses","EcomSphere",80,"/img/product/transparentpinkgirlframes.jpg"
"Steam-Punk Round Goggles","Intricate steampunk-inspired goggles with side shields.",4200,"Glasses","EcomSphere",15,"/img/product/steampunktroundgoggles.jpg"
"Luxury Diamond Studded Frames","Premium glasses with subtle diamond accents on the temples.",8500,"Glasses","EcomSphere",10,"/img/product/luxurydiamondstuddedframes.jpg"
